Oznaka dana;Dani vožnje
1;PoUSrČPe
2;SuN
3;PoUSrČPe
4;PoUSrČPeSu
5;PoUSrČPe
6;N
7;PoUSrČPeSu
8;PoUSrČPeSu
9;PoUSrČPeSu
10;N
11;PoUSrČPeSu
14;PoUSrČPeSu
15;PoUSrČPeN
16;PoUSrČPeSu
17;PoUSrČPeSu
18;PoUSrČPeSu
19;Pe
20;USrČPeSu
21;PoUSrČPe
22;PoUSrČPeSu
23;PoUSrČPeSu
24;N
25;PoUSrČPeSu
26;PoUSrČPeSu
