Stanica;Oznaka pruge;Vrsta stanice;Status stanice;Putnici ul/iz;Roba ut/ist;Kategorija pruge;Broj perona;Vrsta pruge;Broj kolosjeka;DO po osovini;DO po duznom m;Status pruge;Dužina;Vrijeme normalni vlak;Vrijeme ubrzani vlak;Vrijeme brzi vlak
Varaždin;R202;kol.;O;DA;DA;R;3;K;1;22,5;8;I;0;0;;0
Zbelava;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;6;6;;
Jalžabet;R202;kol.;O;DA;DA;R;1;K;1;22,5;8;I;6;9;;
Novakovec;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;2;3;;
Martijanec;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;3;3;;
Ludbreg;R202;kol.;O;DA;DA;R;1;K;1;22,5;8;I;6;11;;23
Čukovec;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;5;5;;
Rasinja;R202;kol.;O;DA;DA;R;1;K;1;22,5;8;I;5;7;;
Kunovec-Subotica;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;3;4;;
Koprivnica;R202;kol.;O;DA;DA;R;2;K;1;22,5;8;I;6;7;;18
