Oznaka dana;Dani vožnje
1;PoUSrČPe
2;SuN
3;PoUSrČPe
4;PoUSrČPeSu
5;PoUSrČPe
6;N
7;PoUSrČPeSu
8;PoUSrČPeSu
9;PoUSrČPeSu
10;N
11;PoUSrČPeSuN
12;
13;
14;PoUSrČPeSu
15;PoUSrČPeN
16;PoUSrČPeSuN
17;PoUSrČPeSuN
18;PoUSrČPeSuN
19;Pe
20;USrČPeSuN
21;PoUSrČPe
22;PoUSrČPeSuN
23;PoUSrČPeSuN
24;N
25;PoUSrČPeSu
26;PoUSrČPeSuN
