Oznaka pruge;Smjer;Polazna stanica;Odredišna stanica;Oznaka vlaka;Vrsta vlaka;Vrijeme polaska;Trajanje vožnje;Oznaka dana
R201;O;;Zabok;3066;;17:06;0:24;
R201;O;Varaždin;;3402;;18:42;0:11;3
R201;O;Varaždin;;3314;;19:20;0:11;
R201;O;Zabok;Varaždin;3014;;17:46;2:03;
R201;O;;Zabok;3068;;17:49;0:28;3
R201;O;;Zabok;3070;;18:46;0:24;4
R201;O;Varaždin;;3316;;20:24;0:11;3
R201;O;Zabok;Varaždin;3016;;19:33;1:46;4
R201;O;;Zabok;3072;;19:49;0:22;3
R201;O;;Zabok;3074;;20:37;0:24;
R201;O;Varaždin;;3318;;21:38;0:11;
R201;O;Zabok;Varaždin;3018;;21:15;1:31;
R201;O;Varaždin;;3018;;22:51;0:11;10
R201;O;;Zabok;3076;;22:30;0:22;
R201;O;;Zabok;3078;;23:03;0:25;6
R201;O;;Zabok;3020;;23:03;0:25;4
R201;O;Zabok;;3020;;23:30;1:42;
;;;;;;;;
M101;N;;;8005;;4:55;0:27;
M101;N;Zaprešić;;3001;;5:16;0:20;4
M101;N;Zaprešić;;3077;;5:16;0:20;6
M101;N;;;8007;;5:19;0:27;3
M101;N;;;8009;;5:51;0:28;
M101;N;Zaprešić;;3051;;6:06;0:28;7
M101;N;;;8013;;6:21;0:28;
M101;N;Zaprešić;;3053;;6:38;0:19;
M101;N;;;8015;;6:43;0:28;1
M101;N;Zaprešić;;3055;;6:56;0:17;5
M101;N;Zaprešić;;B 791;B;7:10;0:12;3
M101;N;;;8017;;7:13;0:27;
M101;N;Zaprešić;;3057;;7:27;0:19;4
M101;N;;;8019;;7:31;0:27;3
M101;N;;;8021;;7:42;0:27;
M101;N;;;8023;;8:07;0:27;3
M101;N;;;8025;;8:42;0:27;3
M101;N;;;8029;;8:42;0:27;2
M101;N;Zaprešić;;3059;;9:07;0:19;
M101;N;;;8027;;9:08;0:27;1
M101;N;;;8031;;9:42;0:27;1
M101;N;Zaprešić;;EN 415;B;10:25;0:14;
M101;N;;;8033;;10:38;0:27;
M101;N;Zaprešić;;3061;;11:14;0:19;3
M101;N;;;8037;;11:35;0:27;
M101;N;;;8039;;12:17;0:27;1
M101;N;Zaprešić;;3063;;12:55;0:19;
M101;N;;;8041;;12:57;0:27;
M101;N;;;8043;;13:26;0:27;1
M101;N;;;8045;;14:22;0:27;3
M101;N;Zaprešić;;3065;;14:40;0:19;
M101;N;;;8053;;14:49;0:27;
M101;N;;;8055;;15:14;0:27;1
M101;N;;;8057;;15:42;0:27;
M101;N;Zaprešić;;3067;;16:01;0:19;5
M101;N;;;2105;;16:11;0:29;3
M101;N;Zaprešić;;3069;;16:31;0:19;4
M101;N;Zaprešić;;B 211;B;16:49;0:14;
M101;N;;;8059;;16:50;0:28;
M101;N;;;8061;;17:05;0:27;1
M101;N;;;8063;;17:29;0:27;
M101;N;;;8067;;17:53;0:27;3
M101;N;Zaprešić;;3071;;18:19;0:19;
M101;N;;;8069;;18:23;0:27;
M101;N;;;8071;;18:51;0:27;3
M101;N;;;8075;;19:21;0:28;
M101;N;Zaprešić;;3073;;19:48;0:19;8
M101;N;;;8077;;20:12;0:27;
M101;N;Zaprešić;;EC 213;B;20:33;0:14;
M101;N;;;8081;;20:50;0:27;1
M101;N;;;8083;;21:13;0:27;3
M101;N;Zaprešić;;3075;;21:40;0:19;
M101;N;;;8085;;21:55;0:27;3
M101;N;Zaprešić;;EC 159;B;22:12;0:14;
M101;N;;;8087;;22:44;0:27;
M101;N;;;8089;;23:45;0:27;
;;;;;;;;
M101;O;;;8000;;5:00;0:26;
M101;O;;;8001;;5:34;0:26;
M101;O;;Zaprešić;3050;;5:43;0:20;3
M101;O;;;8004;;5:51;0:26;1
M101;O;;;8006;;6:09;0:26;
M101;O;;;8010;;5:45;0:26;
M101;O;;Zaprešić;3052;;6:54;0:17;5
M101;O;;Zaprešić;EC 158;B;7:05;0:13;
M101;O;;Zaprešić;EC 212;B;7:05;0:13;
M101;O;;;8012;;7:10;0:27;3
M101;O;;;8014;;7:29;0:26;3
