Oznaka pruge;Smjer;Polazna stanica;Odredišna stanica;Oznaka vlaka;Vrsta vlaka;Vrijeme polaska;Trajanje vožnje;Oznaka dana
R202;N;;;3607;;10:22;0:51;4
R202;N;;;3609;;12:45;0:51;4
R202;N;;;6401;;14:47;0:51;1
R202;N;;;3611;;15:59;0:51;3
R202;N;;;3613;;17:09;0:50;6
R202;N;;;3615;;18:00;0:54;3
R202;N;;;6403;;19:25;0:51;1
R202;N;;;3617;;22:18;0:50;1
;;;;;;;;
R202;O;;;980;U;4:12;0:50;3
R202;O;;;3600;;5:26;0:51;4
R202;O;;;3602;;6:38;0:55;5
R202;O;;;3604;;8:13;0:58;3
R202;O;;;3606;;9:02;0:51;1
R202;O;;;3608;;11:44;0:51;4
R202;O;;;6400;;13:09;0:51;3
R202;O;;;3610;;14:48;0:55;4
R202;O;;;3612;;16:00;0:54;1
R202;O;;;B 772;B;17:04;0:40;3
R202;O;;;3614;;18:07;0:51;15
R202;O;;;3616;;19:26;0:55;3
R202;O;;;3618;;20:37;0:51;1
